IP,ORIGIN,CERT_DOMAIN,CERT_ISSUER,GEO_CODE
140.245.43.148,140.245.43.148,mywoiden3.linkpc.net,ZeroSSL,N/A
140.245.43.133,140.245.43.133,dev.ociug.com,Google Trust Services LLC,N/A
140.245.43.82,140.245.43.82,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.43.147,140.245.43.147,www.google.com,Google Trust Services,N/A
140.245.43.124,140.245.43.124,localhost,FIT2CLOUD,N/A
140.245.43.216,140.245.43.216,localhost,FIT2CLOUD,N/A
140.245.43.48,140.245.43.48,api.hotaruapi.top,Let's Encrypt,N/A
140.245.43.222,140.245.43.222,2349090.xyz,Let's Encrypt,N/A
140.245.42.202,140.245.42.202,fm1104.us.kg,Let's Encrypt,N/A
140.245.42.199,140.245.42.199,fe.googletogoogle.com,Let's Encrypt,N/A
140.245.42.163,140.245.42.163,aeinfias.com,Let's Encrypt,N/A
140.245.44.79,140.245.44.79,*.zoom.us,DigiCert Inc,N/A
140.245.42.200,140.245.42.200,tz.zhongrelx.eu.org,Let's Encrypt,N/A
140.245.42.117,140.245.42.117,admin.dulavpn.store,Let's Encrypt,N/A
140.245.42.89,140.245.42.89,sgfour.oxpp.com,Let's Encrypt,N/A
140.245.42.78,140.245.42.78,mitu.quocanhit.com,Let's Encrypt,N/A
140.245.44.164,140.245.44.164,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.42.49,140.245.42.49,sgr1.366661.xyz,Let's Encrypt,N/A
140.245.42.53,140.245.42.53,Common Name,Organization,N/A
140.245.42.30,140.245.42.30,*.zoom.us,DigiCert Inc,N/A
140.245.44.224,140.245.44.224,555113.xyz,Let's Encrypt,N/A
140.245.44.241,140.245.44.241,588068.xyz,Let's Encrypt,N/A
140.245.44.232,140.245.44.232,localhost,FIT2CLOUD,N/A
140.245.44.244,140.245.44.244,warehousedoor.store,Let's Encrypt,N/A
140.245.42.2,140.245.42.2,oracle-1.tmtunnels.tech,Let's Encrypt,N/A
140.245.45.10,140.245.45.10,yahoo.com,DigiCert Inc,N/A
140.245.45.16,140.245.45.16,*.dmkk.cloudns.nz,Let's Encrypt,N/A
140.245.45.56,140.245.45.56,linux-go.site,Let's Encrypt,N/A
140.245.45.69,140.245.45.69,Lucky,lucky666CN,N/A
140.245.41.139,140.245.41.139,nurture.icoc.org.tw,Let's Encrypt,N/A
140.245.45.117,140.245.45.117,jtree.kr,Let's Encrypt,N/A
140.245.45.120,140.245.45.120,sgx.emby.trade,Let's Encrypt,N/A
140.245.45.168,140.245.45.168,*.zoom.us,DigiCert Inc,N/A
140.245.45.91,140.245.45.91,redash.sicpama.com,Let's Encrypt,N/A
140.245.41.58,140.245.41.58,adibdev.me,Let's Encrypt,N/A
140.245.41.73,140.245.41.73,5050.linkpc.net,Let's Encrypt,N/A
140.245.41.46,140.245.41.46,admin-api.nnnotix.com,Let's Encrypt,N/A
140.245.41.30,140.245.41.30,ipfokus.akses.win,Let's Encrypt,N/A
140.245.41.26,140.245.41.26,hcp.coshter.shop,Let's Encrypt,N/A
140.245.41.15,140.245.41.15,oneds.org,Let's Encrypt,N/A
140.245.41.11,140.245.41.11,ucoeo.com,Let's Encrypt,N/A
140.245.40.221,140.245.40.221,game.586vip.cn,Let's Encrypt,N/A
140.245.40.219,140.245.40.219,bt.337845818.cc,Let's Encrypt,N/A
140.245.41.12,140.245.41.12,Common Name,Organization,N/A
140.245.46.53,140.245.46.53,localhost,FIT2CLOUD,N/A
140.245.40.164,140.245.40.164,cbnotes.com,Let's Encrypt,N/A
140.245.46.72,140.245.46.72,docker.qcwolf.com,Let's Encrypt,N/A
140.245.40.144,140.245.40.144,*.191008.xyz,Let's Encrypt,N/A
140.245.40.142,140.245.40.142,api-aaa.fenliu.cm,Let's Encrypt,N/A
140.245.40.141,140.245.40.141,Common Name,Organization,N/A
140.245.46.140,140.245.46.140,Cloudflare,"Cloudflare, Inc.",N/A
140.245.46.182,140.245.46.182,8760000.xyz,Let's Encrypt,N/A
140.245.40.35,140.245.40.35,famisense.app,Let's Encrypt,N/A
140.245.46.206,140.245.46.206,oracle.smslog.in,Let's Encrypt,N/A
140.245.40.14,140.245.40.14,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.46.227,140.245.46.227,arpsso.j0yy.com,Let's Encrypt,N/A
140.245.46.233,140.245.46.233,inlate.com,Let's Encrypt,N/A
140.245.47.4,140.245.47.4,hcp.globalmigrant.biz.id,Let's Encrypt,N/A
140.245.39.210,140.245.39.210,oracle-sg2.bili.me,Let's Encrypt,N/A
140.245.39.172,140.245.39.172,hcp.intactagro.net,Let's Encrypt,N/A
140.245.39.169,140.245.39.169,arm2.sgp2.seiry.eu.org,Let's Encrypt,N/A
140.245.47.68,140.245.47.68,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.47.78,140.245.47.78,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.39.151,140.245.39.151,localhost,FIT2CLOUD,N/A
140.245.39.134,140.245.39.134,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.47.115,140.245.47.115,iagro.cpnit.com,Let's Encrypt,N/A
140.245.47.130,140.245.47.130,lab.covai.org,Let's Encrypt,N/A
140.245.39.98,140.245.39.98,dh.qudesign.cn,Let's Encrypt,N/A
140.245.47.129,140.245.47.129,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.39.136,140.245.39.136,Cloudflare,"Cloudflare, Inc.",N/A
140.245.47.150,140.245.47.150,localhost,FIT2CLOUD,N/A
140.245.47.146,140.245.47.146,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.39.73,140.245.39.73,img.qezc.com,Sectigo Limited,N/A
140.245.47.183,140.245.47.183,*.rtx.al,Let's Encrypt,N/A
140.245.39.50,140.245.39.50,localhost,FIT2CLOUD,N/A
140.245.47.201,140.245.47.201,cobalt.gongj.top,Let's Encrypt,N/A
140.245.39.8,140.245.39.8,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.39.1,140.245.39.1,sg4.151525.xyz,Let's Encrypt,N/A
140.245.38.248,140.245.38.248,probe.srhaze.com,Let's Encrypt,N/A
140.245.47.238,140.245.47.238,963888.xyz,Let's Encrypt,N/A
140.245.47.240,140.245.47.240,mail.scun.edu.gr,ZeroSSL,N/A
140.245.47.236,140.245.47.236,oracle.7yuedefeng.top,Organization,N/A
140.245.48.19,140.245.48.19,oracle.tmtunnels.tech,Let's Encrypt,N/A
140.245.48.25,140.245.48.25,mail.nexbeacon.com,Let's Encrypt,N/A
140.245.48.22,140.245.48.22,*.maya.st,Let's Encrypt,N/A
140.245.48.42,140.245.48.42,garden.nawan.my.id,Let's Encrypt,N/A
140.245.38.195,140.245.38.195,api-pan.85la.com,Let's Encrypt,N/A
140.245.48.28,140.245.48.28,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.38.167,140.245.38.167,auralogic.online,Let's Encrypt,N/A
140.245.48.65,140.245.48.65,o.199507.xyz,Let's Encrypt,N/A
140.245.38.145,140.245.38.145,prmup.com,Let's Encrypt,N/A
140.245.38.136,140.245.38.136,test.adugcd77.dpdns.org,Let's Encrypt,N/A
140.245.38.132,140.245.38.132,anjayserver.my.id,Let's Encrypt,N/A
140.245.38.125,140.245.38.125,Cloudflare,"Cloudflare, Inc.",N/A
140.245.48.114,140.245.48.114,ocs-spw.2615948.xyz,Let's Encrypt,N/A
140.245.48.139,140.245.48.139,01z.one,Let's Encrypt,N/A
140.245.38.85,140.245.38.85,localhost,FIT2CLOUD,N/A
140.245.48.172,140.245.48.172,*.maya.st,Let's Encrypt,N/A
140.245.38.58,140.245.38.58,xjp.1022111.xyz,Let's Encrypt,N/A
140.245.48.191,140.245.48.191,Lucky,lucky666CN,N/A
140.245.48.205,140.245.48.205,srilanka.crazyhearthacker.shop,Let's Encrypt,N/A
140.245.48.202,140.245.48.202,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.38.40,140.245.38.40,bot.wahlau.eu.org,Let's Encrypt,N/A
140.245.48.212,140.245.48.212,n.sni-347-default.ssl.fastly.net,GlobalSign nv-sa,N/A
140.245.38.8,140.245.38.8,images.apple.com,Apple Inc.,N/A
140.245.37.240,140.245.37.240,Oracle,Oracle Corporation,N/A
140.245.37.228,140.245.37.228,bt.lhb888.top,"TrustAsia Technologies, Inc.",N/A
140.245.49.5,140.245.49.5,lyfz.de,Let's Encrypt,N/A
140.245.49.14,140.245.49.14,hcp.cis.dedyn.io,Hestia Control Panel,N/A
140.245.37.195,140.245.37.195,feishu-open.com,Let's Encrypt,N/A
140.245.37.187,140.245.37.187,123,123,N/A
140.245.37.148,140.245.37.148,api.zixiwu.cn,Let's Encrypt,N/A
140.245.49.100,140.245.49.100,panel.sifat.se,Let's Encrypt,N/A
140.245.37.132,140.245.37.132,cdn.freeorg.gq,Let's Encrypt,N/A
140.245.49.117,140.245.49.117,drharis.my,ZeroSSL,N/A
140.245.49.115,140.245.49.115,Common Name,Organization,N/A
140.245.37.97,140.245.37.97,localhost,FIT2CLOUD,N/A
140.245.37.86,140.245.37.86,pro.cunshao.me,Let's Encrypt,N/A
140.245.49.147,140.245.49.147,bill.cloudnet.one,Let's Encrypt,N/A
140.245.37.83,140.245.37.83,im.baiyangjiasu.com,"TrustAsia Technologies, Inc.",N/A
140.245.37.89,140.245.37.89,Common Name,Organization,N/A
140.245.37.63,140.245.37.63,localhost,FIT2CLOUD,N/A
140.245.49.171,140.245.49.171,blackhole,Dis,N/A
140.245.37.52,140.245.37.52,witchery.cc,Let's Encrypt,N/A
140.245.37.77,140.245.37.77,aapanelvps2.peliter.com,Let's Encrypt,N/A
140.245.49.191,140.245.49.191,sgx2.bimlee.com,Let's Encrypt,N/A
140.245.49.193,140.245.49.193,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.37.38,140.245.37.38,www.cloudflare.com,Google Trust Services,N/A
140.245.49.204,140.245.49.204,localhost,Internet Widgits Pty Ltd,N/A
140.245.49.225,140.245.49.225,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.49.228,140.245.49.228,FortiGate,Fortinet,N/A
140.245.36.255,140.245.36.255,Common Name,Organization,N/A
140.245.36.231,140.245.36.231,gitlab.diningconnect.com,Let's Encrypt,N/A
140.245.37.9,140.245.37.9,Common Name,Organization,N/A
140.245.36.224,140.245.36.224,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.36.220,140.245.36.220,Common Name,Organization,N/A
140.245.50.2,140.245.50.2,www.google.com,Google Trust Services,N/A
140.245.36.202,140.245.36.202,me.born.nyc.mn,Let's Encrypt,N/A
140.245.36.201,140.245.36.201,hcp.qiangkewang.com,Let's Encrypt,N/A
140.245.36.191,140.245.36.191,Common Name,Organization,N/A
140.245.50.43,140.245.50.43,www.google.com,Google Trust Services,N/A
140.245.50.37,140.245.50.37,yahoo.com,DigiCert Inc,N/A
140.245.36.178,140.245.36.178,antifraud.gov.cn,GFW,N/A
140.245.50.59,140.245.50.59,no-sni.vercel-infra.com,Let's Encrypt,N/A
140.245.36.211,140.245.36.211,Common Name,Organization,N/A
140.245.50.50,140.245.50.50,min.185193.xyz,Let's Encrypt,N/A
140.245.36.161,140.245.36.161,localhost,FIT2CLOUD,N/A
140.245.50.109,140.245.50.109,ebook.rameses.win,Let's Encrypt,N/A
140.245.36.121,140.245.36.121,kimihiro.site,"TrustAsia Technologies, Inc.",N/A
140.245.50.112,140.245.50.112,www.52o.org,Let's Encrypt,N/A
140.245.36.103,140.245.36.103,cplus.app,Let's Encrypt,N/A
140.245.50.145,140.245.50.145,140.245.50.145,ZeroSSL,N/A
140.245.50.150,140.245.50.150,blog.cotfu.com,Let's Encrypt,N/A
140.245.36.83,140.245.36.83,sgxiarm1.050005.xyz,Let's Encrypt,N/A
140.245.50.166,140.245.50.166,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.50.172,140.245.50.172,Lucky,lucky666CN,N/A
140.245.50.202,140.245.50.202,sg4.022888.xyz,Let's Encrypt,N/A
140.245.36.25,140.245.36.25,reroute443.microsoft.com,Microsoft Corporation,N/A
140.245.36.19,140.245.36.19,4ss.store,Let's Encrypt,N/A
140.245.36.8,140.245.36.8,open.ainiya.de,Let's Encrypt,N/A
140.245.35.253,140.245.35.253,Lucky,lucky666CN,N/A
140.245.35.248,140.245.35.248,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.35.214,140.245.35.214,Common Name,Organization,N/A
140.245.35.207,140.245.35.207,pan.sptra.org,Let's Encrypt,N/A
140.245.35.211,140.245.35.211,*.imwyatt.com,Let's Encrypt,N/A
140.245.51.53,140.245.51.53,hjgl.sscenter.edu.kg,Let's Encrypt,N/A
140.245.51.15,140.245.51.15,alist.compile.top,Let's Encrypt,N/A
140.245.35.161,140.245.35.161,Common Name,Organization,N/A
140.245.35.145,140.245.35.145,ols,LiteSpeedCommunity,N/A
140.245.35.137,140.245.35.137,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.35.144,140.245.35.144,wyyqyl.cf,ZeroSSL,N/A
140.245.51.101,140.245.51.101,currency.7746298.best,ZeroSSL,N/A
140.245.35.72,140.245.35.72,sgwestarm1.170913.xyz,Let's Encrypt,N/A
140.245.51.186,140.245.51.186,k.333939.xyz,Let's Encrypt,N/A
140.245.51.202,140.245.51.202,blog.970515.xyz,Let's Encrypt,N/A
140.245.35.19,140.245.35.19,sgw2.365711.xyz,ZeroSSL,N/A
140.245.51.216,140.245.51.216,localhost,FIT2CLOUD,N/A
140.245.35.12,140.245.35.12,file.yjtv.top,Let's Encrypt,N/A
140.245.51.238,140.245.51.238,pfSense-682618c8dcf5d,pfSense GUI default Self-Signed Certificate,N/A
140.245.34.226,140.245.34.226,sgp.337.plus,Let's Encrypt,N/A
140.245.52.45,140.245.52.45,n8n.coinpulse.click,Let's Encrypt,N/A
140.245.52.44,140.245.52.44,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.52.46,140.245.52.46,Common Name,Organization,N/A
140.245.52.39,140.245.52.39,hestiacp.monika.id,Let's Encrypt,N/A
140.245.52.20,140.245.52.20,theadblocksg.duckdns.org,Let's Encrypt,N/A
140.245.52.34,140.245.52.34,chat.wenzi.me,Let's Encrypt,N/A
140.245.52.111,140.245.52.111,5.nfww.top,Let's Encrypt,N/A
140.245.52.100,140.245.52.100,Common Name,Organization,N/A
140.245.52.86,140.245.52.86,nhadanang.id.vn,Let's Encrypt,N/A
140.245.34.149,140.245.34.149,140.245.37.79,宝塔面板,N/A
140.245.34.77,140.245.34.77,bitrate.cc,Let's Encrypt,N/A
140.245.52.157,140.245.52.157,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.52.161,140.245.52.161,www.pornhub.org,"Regery, https://regery.com",N/A
140.245.52.178,140.245.52.178,oracle-sg1.bili.me,Let's Encrypt,N/A
140.245.52.181,140.245.52.181,fluentfox.uk,Let's Encrypt,N/A
140.245.34.43,140.245.34.43,sg1.ruisheng.fun,Let's Encrypt,N/A
140.245.52.206,140.245.52.206,www.hantai.us.kg,Let's Encrypt,N/A
140.245.34.25,140.245.34.25,yahoo.com,DigiCert Inc,N/A
140.245.34.5,140.245.34.5,ora.sg.west.arm.runrm.com,Let's Encrypt,N/A
140.245.52.231,140.245.52.231,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.53.5,140.245.53.5,cloudflare-dns.com,SSL Corp,N/A
140.245.33.243,140.245.33.243,blackhole,Dis,N/A
140.245.52.252,140.245.52.252,sirironvpn.raveenranadewa.quest,Let's Encrypt,N/A
140.245.33.202,140.245.33.202,Common Name,Organization,N/A
140.245.33.194,140.245.33.194,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.53.43,140.245.53.43,Common Name,Organization,N/A
140.245.53.51,140.245.53.51,eru.tranchithien.com,Let's Encrypt,N/A
140.245.33.179,140.245.33.179,duronbuilding.com,Let's Encrypt,N/A
140.245.53.2,140.245.53.2,Common Name,Organization,N/A
140.245.33.156,140.245.33.156,website.ifctapp.com,Let's Encrypt,N/A
140.245.53.76,140.245.53.76,drharis.live,Let's Encrypt,N/A
140.245.53.92,140.245.53.92,api.dajaks.com,Let's Encrypt,N/A
140.245.33.139,140.245.33.139,hcp.mqie.com,Let's Encrypt,N/A
140.245.53.107,140.245.53.107,Common Name,Organization,N/A
140.245.53.130,140.245.53.130,m.suinian.com,Let's Encrypt,N/A
140.245.53.136,140.245.53.136,cloudflare-dns.com,SSL Corp,N/A
140.245.53.144,140.245.53.144,no-sni.vercel-infra.com,Let's Encrypt,N/A
140.245.53.160,140.245.53.160,az-contribute-origin.viki.com,Google Trust Services,N/A
140.245.53.141,140.245.53.141,*.lzamq.cc,Let's Encrypt,N/A
140.245.53.169,140.245.53.169,89i24.472747.xyz,Let's Encrypt,N/A
140.245.33.4,140.245.33.4,*.vantora.dpdns.org,Let's Encrypt,N/A
140.245.53.234,140.245.53.234,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.53.248,140.245.53.248,aigos.cn,Let's Encrypt,N/A
140.245.53.251,140.245.53.251,sg3.151525.xyz,Let's Encrypt,N/A
140.245.54.2,140.245.54.2,s12s.dpdns.org,Let's Encrypt,N/A
140.245.54.5,140.245.54.5,*.844523.xyz,Let's Encrypt,N/A
140.245.54.8,140.245.54.8,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.54.21,140.245.54.21,sgv4.364100.xyz,Let's Encrypt,N/A
140.245.54.36,140.245.54.36,sgw.izim.net,Let's Encrypt,N/A
140.245.54.60,140.245.54.60,sgp.tianya78968.eu.org,Let's Encrypt,N/A
140.245.32.140,140.245.32.140,dashboard.851213.xyz,Let's Encrypt,N/A
140.245.54.92,140.245.54.92,369456.xyz,Let's Encrypt,N/A
140.245.54.93,140.245.54.93,cfo.org-life.com,Let's Encrypt,N/A
140.245.32.87,140.245.32.87,Lucky,lucky666CN,N/A
140.245.32.85,140.245.32.85,localhost,VLESS,N/A
140.245.32.40,140.245.32.40,code-source.3069.cn,Let's Encrypt,N/A
140.245.32.15,140.245.32.15,Kubernetes Ingress Controller Fake Certificate,Acme Co,N/A
140.245.54.207,140.245.54.207,690917.xyz,Let's Encrypt,N/A
140.245.32.53,140.245.32.53,*.zhlnb.pp.ua,Let's Encrypt,N/A
140.245.54.252,140.245.54.252,dmkk.cloudns.nz,Let's Encrypt,N/A
140.245.31.237,140.245.31.237,cs.sheen888.xyz,Let's Encrypt,N/A
140.245.55.8,140.245.55.8,me.ciuai.com,Let's Encrypt,N/A
140.245.55.13,140.245.55.13,feishu-open.com,Let's Encrypt,N/A
140.245.54.243,140.245.54.243,odyssey.na.ddns-ip.net,Let's Encrypt,N/A
140.245.31.215,140.245.31.215,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.55.7,140.245.55.7,cpn.nhat.top,Let's Encrypt,N/A
140.245.31.195,140.245.31.195,*.vconsol.com,Sectigo Limited,N/A
140.245.31.193,140.245.31.193,lendittapi.com,Sectigo Limited,N/A
140.245.31.167,140.245.31.167,rst.rstglobal.in,Let's Encrypt,N/A
140.245.55.14,140.245.55.14,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.31.156,140.245.31.156,amarprayasgosthi.org,Let's Encrypt,N/A
140.245.55.41,140.245.55.41,api.zibll.com,幻想领域,N/A
140.245.55.111,140.245.55.111,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.55.131,140.245.55.131,certof.com,Let's Encrypt,N/A
140.245.55.132,140.245.55.132,alifelonglove.net,Let's Encrypt,N/A
140.245.55.158,140.245.55.158,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
140.245.31.63,140.245.31.63,admin.dev.pilotpariksha.com,Let's Encrypt,N/A
140.245.55.191,140.245.55.191,kingslayer-vpn.secwx.shop,Let's Encrypt,N/A
